Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0246772,2011-12-31,2011-12-31,,"Mostly Martha","Bella Martha",https://www.imdb.com/title/tt0246772/,Movie,7.2,109,2001,"Comedy, Romance, Drama",8680,2002-09-27,"Sandra Nettelbeck",,
2,tt0466561,2011-12-31,2011-12-31,,"The Border Post","Karaula",https://www.imdb.com/title/tt0466561/,Movie,7.6,94,2006,"Comedy, Drama",6841,2008-03-07,"Rajko Grlic",,
3,tt1178197,2011-12-31,2011-12-31,,"The World is Big and Salvation Lurks Around the Corner","Svetat e golyam i spasenie debne otvsyakade",https://www.imdb.com/title/tt1178197/,Movie,7.9,105,2008,"Drama",6153,2008-10-10,"Stephan Komandarev",,
4,tt1127702,2011-12-31,2011-12-31,,"Mission London","Mission London",https://www.imdb.com/title/tt1127702/,Movie,7.1,107,2010,"Comedy",6363,2010-04-16,"Dimitar Mitovski",,
5,tt1242422,2011-12-31,2011-12-31,,"Cell 211","Celda 211",https://www.imdb.com/title/tt1242422/,Movie,7.6,113,2009,"Action, Adventure, Crime, Drama, Thriller",71857,2009-11-06,"Daniel Monzón",,
6,tt1063669,2011-12-31,2011-12-31,,"The Wave","Die Welle",https://www.imdb.com/title/tt1063669/,Movie,7.6,107,2008,"Drama, Thriller",117441,2011-05-27,"Dennis Gansel",,
7,tt0099334,2013-01-13,2013-01-13,,"Cyrano de Bergerac","Cyrano de Bergerac",https://www.imdb.com/title/tt0099334/,Movie,7.5,137,1990,"Comedy, Drama, History, Romance",26553,1990-12-01,"Jean-Paul Rappeneau",,
8,tt0280707,2013-01-13,2013-01-13,,"Gosford Park","Gosford Park",https://www.imdb.com/title/tt0280707/,Movie,7.2,137,2001,"Comedy, Drama, Mystery",97326,2002-01-18,"Robert Altman",,
9,tt0101829,2013-02-04,2013-02-04,,"Europa","Europa",https://www.imdb.com/title/tt0101829/,Movie,7.5,108,1991,"Crime, Drama, Thriller",23732,1991-06-27,"Lars von Trier",,
10,tt0093111,2013-02-05,2013-02-05,,"The Grand Highway","Le grand chemin",https://www.imdb.com/title/tt0093111/,Movie,7.3,104,1987,"Comedy, Drama",1833,1987-03-25,"Jean-Loup Hubert",,
11,tt1817273,2013-04-29,2013-04-29,,"The Place Beyond the Pines","The Place Beyond the Pines",https://www.imdb.com/title/tt1817273/,Movie,7.3,140,2012,"Crime, Drama, Thriller",296698,2013-04-19,"Derek Cianfrance",,
12,tt1682180,2013-07-09,2013-07-09,,"Stoker","Stoker",https://www.imdb.com/title/tt1682180/,Movie,6.7,99,2013,"Drama, Thriller",116222,2013-03-01,"Park Chan-wook",,
13,tt0090022,2013-07-22,2013-07-22,,"Silverado","Silverado",https://www.imdb.com/title/tt0090022/,Movie,7.2,133,1985,"Action, Crime, Drama, Romance, Western",51473,1985-07-10,"Lawrence Kasdan",,
14,tt0096018,2013-07-22,2013-07-22,,"Running on Empty","Running on Empty",https://www.imdb.com/title/tt0096018/,Movie,7.6,116,1988,"Crime, Drama, Music, Romance",18542,1988-09-09,"Sidney Lumet",,
15,tt0092965,2013-07-22,2013-07-22,,"Empire of the Sun","Empire of the Sun",https://www.imdb.com/title/tt0092965/,Movie,7.7,153,1987,"Drama, War",137345,1987-12-25,"Steven Spielberg",,
16,tt0105265,2013-07-22,2013-07-22,,"A River Runs Through It","A River Runs Through It",https://www.imdb.com/title/tt0105265/,Movie,7.2,123,1992,"Drama",67220,1992-10-30,"Robert Redford",,
17,tt0063291,2013-07-22,2013-07-22,,"Memories of Underdevelopment","Memorias del subdesarrollo",https://www.imdb.com/title/tt0063291/,Movie,7.6,97,1968,"Drama",4959,1973-05-17,"Tomás Gutiérrez Alea",,
18,tt0243017,2013-07-22,2013-07-22,,"Waking Life","Waking Life",https://www.imdb.com/title/tt0243017/,Movie,7.7,99,2001,"Animation, Drama, Fantasy",68066,2002-03-07,"Richard Linklater",,
19,tt0383028,2013-07-22,2013-07-22,,"Synecdoche, New York","Synecdoche, New York",https://www.imdb.com/title/tt0383028/,Movie,7.5,124,2008,"Drama",100694,2009-02-05,"Charlie Kaufman",,
20,tt0112817,2013-07-22,2013-07-22,,"Dead Man","Dead Man",https://www.imdb.com/title/tt0112817/,Movie,7.5,121,1995,"Adventure, Comedy, Drama, Fantasy, Western",105262,1996-05-10,"Jim Jarmusch",,
21,tt1924396,2013-08-08,2013-08-08,,"The Best Offer","La migliore offerta",https://www.imdb.com/title/tt1924396/,Movie,7.8,131,2013,"Crime, Drama, Mystery, Romance, Thriller",131988,2014-01-01,"Giuseppe Tornatore",,
22,tt0107692,2013-08-08,2013-08-08,,"Ninja Scroll","Jûbê ninpûchô",https://www.imdb.com/title/tt0107692/,Movie,7.8,94,1993,"Animation, Action, Adventure, Fantasy, Thriller",42298,1993-06-05,"Yoshiaki Kawajiri",,
23,tt0142181,2013-08-08,2013-08-08,,"Chûgoku no chôjin","Chûgoku no chôjin",https://www.imdb.com/title/tt0142181/,Movie,7.4,118,1998,"Adventure, Comedy, Drama, Fantasy",4990,1998-06-10,"Takashi Miike",,
24,tt0088323,2013-08-08,2013-08-08,,"The NeverEnding Story","The Neverending Story",https://www.imdb.com/title/tt0088323/,Movie,7.3,102,1984,"Adventure, Drama, Family, Fantasy",162318,1984-07-20,"Wolfgang Petersen",,
25,tt0113749,2013-08-20,2013-08-20,,"Mallrats","Mallrats",https://www.imdb.com/title/tt0113749/,Movie,7.0,94,1995,"Comedy, Romance",130876,1995-10-20,"Kevin Smith",,
26,tt0120655,2013-08-20,2013-08-20,,"Dogma","Dogma",https://www.imdb.com/title/tt0120655/,Movie,7.3,130,1999,"Adventure, Comedy, Drama, Fantasy",232921,1999-11-12,"Kevin Smith",,
27,tt0104036,2013-09-19,2013-09-19,,"The Crying Game","The Crying Game",https://www.imdb.com/title/tt0104036/,Movie,7.2,112,1992,"Crime, Drama, Romance, Thriller",61326,1993-02-19,"Neil Jordan",,
28,tt2222394,2013-12-30,2013-12-30,,"We Are the Nobles","Nosotros los Nobles",https://www.imdb.com/title/tt2222394/,Movie,7.3,108,2013,"Comedy",10860,2013-03-28,"Gary Alazraki",,
